NOC,Sport,Adeptness
LBA,Cycling,
LBA,Cycling BMX Freestyle,
LBA,Cycling BMX Racing,
LBA,Cycling Mountain Bike,
LBA,Cycling Road,
LBA,Cycling Track,
LBA,Diving,
LBA,Equestrian,
LBA,Equestrianism,
LBA,Fencing,
LBA,Figure Skating,
LBA,Football,
LBA,Golf,
LBA,Gymnastics,
LBA,Handball,
LBA,Hockey,
LBA,Ice Hockey,
LBA,Jeu De Paume,
LBA,Judo,
LBA,Karate,
LBA,Lacrosse,
LBA,Marathon Swimming,
LBA,Modern Pentathlon,
LBA,Motorboating,
LBA,Polo,
LBA,Racquets,
LBA,Rhythmic Gymnastics,
LBA,Roque,
LBA,Rowing,
LBA,Rugby,
LBA,Rugby Sevens,
LBA,Sailing,
LBA,Shooting,
LBA,Skateboarding,
LBA,Softball,
LBA,Sport Climbing,
LBA,Surfing,
LBA,Swimming,
LBA,Synchronized Swimming,
LBA,Table Tennis,
LBA,Taekwondo,
LBA,Tennis,
LBA,Trampoline Gymnastics,
LBA,Trampolining,
LBA,Triathlon,
LBA,Tug-Of-War,
LBA,Volleyball,
LBA,Water Polo,
LBA,Weightlifting,
LBA,Wrestling,
BEL,Cycling Road,0.2
BEL,Archery,0.12590799031476999
BEL,Tug-Of-War,0.06956521739130435
BEL,Art Competitions,0.05128205128205128
BEL,Equestrian,0.045454545454545456
BEL,Water Polo,0.04451772464962902
BEL,Cycling,0.03721298495645289
BEL,Hockey,0.02771362586605081
BEL,Fencing,0.024986985944820406
BEL,Equestrianism,0.02383419689119171
BEL,Gymnastics,0.02130492676431425
BEL,Judo,0.01856763925729443
BEL,Sailing,0.014537107880642693
BEL,Shooting,0.012781954887218045
BEL,Football,0.012595837897042717
BEL,Rowing,0.009279307145066501
BEL,Artistic Gymnastics,0.0078125
BEL,Tennis,0.007731958762886598
BEL,Cycling Track,0.005952380952380952
BEL,Weightlifting,0.005571030640668524
BEL,Taekwondo,0.004807692307692308
BEL,Athletics,0.004741476631293746
BEL,Boxing,0.003816793893129771
BEL,Wrestling,0.002777777777777778
BEL,Swimming,0.0014413375612568463
BEL,3x3 Basketball,
BEL,Aeronautics,
BEL,Alpinism,
BEL,Artistic Swimming,
BEL,Badminton,
BEL,Baseball,
BEL,Baseball/Softball,
BEL,Basketball,
BEL,Basque Pelota,
BEL,Beach Volleyball,
BEL,Breaking,
BEL,Canoe Slalom,
BEL,Canoe Sprint,
BEL,Canoeing,
BEL,Cricket,
BEL,Croquet,
BEL,Cycling BMX Freestyle,
BEL,Cycling BMX Racing,
BEL,Cycling Mountain Bike,
BEL,Diving,
BEL,Figure Skating,
BEL,Golf,
BEL,Handball,
BEL,Ice Hockey,
BEL,Jeu De Paume,
BEL,Karate,
BEL,Lacrosse,
BEL,Marathon Swimming,
BEL,Modern Pentathlon,
BEL,Motorboating,
BEL,Polo,
BEL,Racquets,
BEL,Rhythmic Gymnastics,
BEL,Roque,
BEL,Rugby,
BEL,Rugby Sevens,
BEL,Skateboarding,
BEL,Softball,
BEL,Sport Climbing,
BEL,Surfing,
BEL,Synchronized Swimming,
BEL,Table Tennis,
BEL,Trampoline Gymnastics,
BEL,Trampolining,
BEL,Triathlon,
BEL,Volleyball,
DJI,Athletics,0.00022578460149017836
DJI,3x3 Basketball,
DJI,Aeronautics,
DJI,Alpinism,
DJI,Archery,
DJI,Art Competitions,
DJI,Artistic Gymnastics,
DJI,Artistic Swimming,
DJI,Badminton,
DJI,Baseball,
DJI,Baseball/Softball,
DJI,Basketball,
DJI,Basque Pelota,
DJI,Beach Volleyball,
DJI,Boxing,
DJI,Breaking,
DJI,Canoe Slalom,
DJI,Canoe Sprint,
DJI,Canoeing,
DJI,Cricket,
DJI,Croquet,
DJI,Cycling,
DJI,Cycling BMX Freestyle,
DJI,Cycling BMX Racing,
DJI,Cycling Mountain Bike,
DJI,Cycling Road,
DJI,Cycling Track,
DJI,Diving,
DJI,Equestrian,
DJI,Equestrianism,
DJI,Fencing,
DJI,Figure Skating,
DJI,Football,
DJI,Golf,
DJI,Gymnastics,
DJI,Handball,
DJI,Hockey,
DJI,Ice Hockey,
DJI,Jeu De Paume,
DJI,Judo,
DJI,Karate,
DJI,Lacrosse,
DJI,Marathon Swimming,
DJI,Modern Pentathlon,
DJI,Motorboating,
DJI,Polo,
DJI,Racquets,
DJI,Rhythmic Gymnastics,
DJI,Roque,
DJI,Rowing,
DJI,Rugby,
DJI,Rugby Sevens,
DJI,Sailing,
DJI,Shooting,
DJI,Skateboarding,
DJI,Softball,
DJI,Sport Climbing,
DJI,Surfing,
DJI,Swimming,
DJI,Synchronized Swimming,
DJI,Table Tennis,
DJI,Taekwondo,
DJI,Tennis,
DJI,Trampoline Gymnastics,
DJI,Trampolining,
DJI,Triathlon,
DJI,Tug-Of-War,
DJI,Volleyball,
DJI,Water Polo,
DJI,Weightlifting,
DJI,Wrestling,
PLE,3x3 Basketball,
PLE,Aeronautics,
PLE,Alpinism,
PLE,Archery,
PLE,Art Competitions,
PLE,Artistic Gymnastics,
PLE,Artistic Swimming,
PLE,Athletics,
PLE,Badminton,
PLE,Baseball,
PLE,Baseball/Softball,
PLE,Basketball,
PLE,Basque Pelota,
PLE,Beach Volleyball,
PLE,Boxing,
PLE,Breaking,
PLE,Canoe Slalom,
PLE,Canoe Sprint,
PLE,Canoeing,
PLE,Cricket,
PLE,Croquet,
PLE,Cycling,
PLE,Cycling BMX Freestyle,
PLE,Cycling BMX Racing,
PLE,Cycling Mountain Bike,
PLE,Cycling Road,
PLE,Cycling Track,
PLE,Diving,
PLE,Equestrian,
PLE,Equestrianism,
PLE,Fencing,
PLE,Figure Skating,
PLE,Football,
PLE,Golf,
PLE,Gymnastics,
PLE,Handball,
PLE,Hockey,
PLE,Ice Hockey,
PLE,Jeu De Paume,
PLE,Judo,
PLE,Karate,
PLE,Lacrosse,
PLE,Marathon Swimming,
PLE,Modern Pentathlon,
PLE,Motorboating,
PLE,Polo,
PLE,Racquets,
PLE,Rhythmic Gymnastics,
PLE,Roque,
PLE,Rowing,
PLE,Rugby,
PLE,Rugby Sevens,
PLE,Sailing,
PLE,Shooting,
PLE,Skateboarding,
PLE,Softball,
PLE,Sport Climbing,
PLE,Surfing,
PLE,Swimming,
PLE,Synchronized Swimming,
PLE,Table Tennis,
PLE,Taekwondo,
PLE,Tennis,
PLE,Trampoline Gymnastics,
PLE,Trampolining,
PLE,Triathlon,
PLE,Tug-Of-War,
PLE,Volleyball,
PLE,Water Polo,
PLE,Weightlifting,
PLE,Wrestling,
COM,3x3 Basketball,
COM,Aeronautics,
COM,Alpinism,
COM,Archery,
COM,Art Competitions,
COM,Artistic Gymnastics,
COM,Artistic Swimming,
COM,Athletics,
COM,Badminton,
COM,Baseball,
COM,Baseball/Softball,
COM,Basketball,
COM,Basque Pelota,
COM,Beach Volleyball,
COM,Boxing,
COM,Breaking,
COM,Canoe Slalom,
COM,Canoe Sprint,
COM,Canoeing,
COM,Cricket,
COM,Croquet,
COM,Cycling,
COM,Cycling BMX Freestyle,
COM,Cycling BMX Racing,
COM,Cycling Mountain Bike,
COM,Cycling Road,
COM,Cycling Track,
COM,Diving,
COM,Equestrian,
COM,Equestrianism,
COM,Fencing,
COM,Figure Skating,
COM,Football,
COM,Golf,
COM,Gymnastics,
COM,Handball,
COM,Hockey,
COM,Ice Hockey,
COM,Jeu De Paume,
COM,Judo,
COM,Karate,
COM,Lacrosse,
COM,Marathon Swimming,
COM,Modern Pentathlon,
COM,Motorboating,
COM,Polo,
COM,Racquets,
COM,Rhythmic Gymnastics,
COM,Roque,
COM,Rowing,
COM,Rugby,
COM,Rugby Sevens,
COM,Sailing,
COM,Shooting,
COM,Skateboarding,
COM,Softball,
COM,Sport Climbing,
COM,Surfing,
COM,Swimming,
COM,Synchronized Swimming,
COM,Table Tennis,
COM,Taekwondo,
COM,Tennis,
COM,Trampoline Gymnastics,
COM,Trampolining,
COM,Triathlon,
COM,Tug-Of-War,
COM,Volleyball,
COM,Water Polo,
COM,Weightlifting,
COM,Wrestling,
KAZ,Karate,0.0625
KAZ,Weightlifting,0.025069637883008356
KAZ,Boxing,0.02480916030534351
KAZ,Wrestling,0.013194444444444444
KAZ,Judo,0.007957559681697613
KAZ,Artistic Gymnastics,0.0078125
KAZ,Modern Pentathlon,0.005050505050505051
KAZ,Taekwondo,0.004807692307692308
KAZ,Shooting,0.0037593984962406013
KAZ,Cycling,0.001583531274742676
KAZ,Athletics,0.0009031384059607134
KAZ,Swimming,0.0002882675122513693
KAZ,3x3 Basketball,
KAZ,Aeronautics,
KAZ,Alpinism,
KAZ,Archery,
KAZ,Art Competitions,
KAZ,Artistic Swimming,
KAZ,Badminton,
KAZ,Baseball,
KAZ,Baseball/Softball,
KAZ,Basketball,
KAZ,Basque Pelota,
KAZ,Beach Volleyball,
KAZ,Breaking,
KAZ,Canoe Slalom,
KAZ,Canoe Sprint,
KAZ,Canoeing,
KAZ,Cricket,
KAZ,Croquet,
KAZ,Cycling BMX Freestyle,
KAZ,Cycling BMX Racing,
KAZ,Cycling Mountain Bike,
KAZ,Cycling Road,
KAZ,Cycling Track,
KAZ,Diving,
KAZ,Equestrian,
KAZ,Equestrianism,
KAZ,Fencing,
KAZ,Figure Skating,
KAZ,Football,
KAZ,Golf,
KAZ,Gymnastics,
KAZ,Handball,
KAZ,Hockey,
KAZ,Ice Hockey,
KAZ,Jeu De Paume,
KAZ,Lacrosse,
KAZ,Marathon Swimming,
KAZ,Motorboating,
KAZ,Polo,
KAZ,Racquets,
KAZ,Rhythmic Gymnastics,
KAZ,Roque,
KAZ,Rowing,
KAZ,Rugby,
KAZ,Rugby Sevens,
KAZ,Sailing,
KAZ,Skateboarding,
KAZ,Softball,
KAZ,Sport Climbing,
KAZ,Surfing,
KAZ,Synchronized Swimming,
KAZ,Table Tennis,
KAZ,Tennis,
KAZ,Trampoline Gymnastics,
KAZ,Trampolining,
KAZ,Triathlon,
KAZ,Tug-Of-War,
KAZ,Volleyball,
KAZ,Water Polo,
BRU,3x3 Basketball,
BRU,Aeronautics,
BRU,Alpinism,
BRU,Archery,
BRU,Art Competitions,
BRU,Artistic Gymnastics,
BRU,Artistic Swimming,
BRU,Athletics,
BRU,Badminton,
BRU,Baseball,
BRU,Baseball/Softball,
BRU,Basketball,
BRU,Basque Pelota,
BRU,Beach Volleyball,
BRU,Boxing,
BRU,Breaking,
BRU,Canoe Slalom,
BRU,Canoe Sprint,
BRU,Canoeing,
BRU,Cricket,
BRU,Croquet,
BRU,Cycling,
BRU,Cycling BMX Freestyle,
BRU,Cycling BMX Racing,
BRU,Cycling Mountain Bike,
BRU,Cycling Road,
BRU,Cycling Track,
BRU,Diving,
BRU,Equestrian,
BRU,Equestrianism,
BRU,Fencing,
BRU,Figure Skating,
BRU,Football,
BRU,Golf,
BRU,Gymnastics,
BRU,Handball,
BRU,Hockey,
BRU,Ice Hockey,
BRU,Jeu De Paume,
BRU,Judo,
BRU,Karate,
BRU,Lacrosse,
BRU,Marathon Swimming,
BRU,Modern Pentathlon,
BRU,Motorboating,
BRU,Polo,
BRU,Racquets,
BRU,Rhythmic Gymnastics,
BRU,Roque,
BRU,Rowing,
BRU,Rugby,
BRU,Rugby Sevens,
BRU,Sailing,
BRU,Shooting,
BRU,Skateboarding,
BRU,Softball,
BRU,Sport Climbing,
BRU,Surfing,
BRU,Swimming,
BRU,Synchronized Swimming,
BRU,Table Tennis,
BRU,Taekwondo,
BRU,Tennis,
BRU,Trampoline Gymnastics,
BRU,Trampolining,
BRU,Triathlon,
BRU,Tug-Of-War,
BRU,Volleyball,
BRU,Water Polo,
BRU,Weightlifting,
BRU,Wrestling,
IND,Hockey,0.11836027713625866
IND,Badminton,0.013888888888888888
IND,Shooting,0.006015037593984963
IND,Wrestling,0.005555555555555556
IND,Boxing,0.0028625954198473282
IND,Weightlifting,0.002785515320334262
IND,Tennis,0.002577319587628866
IND,Athletics,0.0009031384059607134
IND,3x3 Basketball,
IND,Aeronautics,
IND,Alpinism,
IND,Archery,
IND,Art Competitions,
IND,Artistic Gymnastics,
IND,Artistic Swimming,
IND,Baseball,
IND,Baseball/Softball,
IND,Basketball,
IND,Basque Pelota,
IND,Beach Volleyball,
IND,Breaking,
IND,Canoe Slalom,
IND,Canoe Sprint,
IND,Canoeing,
IND,Cricket,
IND,Croquet,
IND,Cycling,
IND,Cycling BMX Freestyle,
IND,Cycling BMX Racing,
IND,Cycling Mountain Bike,
IND,Cycling Road,
IND,Cycling Track,
IND,Diving,
IND,Equestrian,
IND,Equestrianism,
IND,Fencing,
IND,Figure Skating,
IND,Football,
IND,Golf,
IND,Gymnastics,
IND,Handball,
IND,Ice Hockey,
IND,Jeu De Paume,
IND,Judo,
IND,Karate,
IND,Lacrosse,
IND,Marathon Swimming,
IND,Modern Pentathlon,
IND,Motorboating,
IND,Polo,
IND,Racquets,
IND,Rhythmic Gymnastics,
IND,Roque,
IND,Rowing,
IND,Rugby,
IND,Rugby Sevens,
IND,Sailing,
IND,Skateboarding,
IND,Softball,
IND,Sport Climbing,
IND,Surfing,
IND,Swimming,
IND,Synchronized Swimming,
IND,Table Tennis,
IND,Taekwondo,
IND,Trampoline Gymnastics,
IND,Trampolining,
IND,Triathlon,
IND,Tug-Of-War,
IND,Volleyball,
IND,Water Polo,
KSA,Karate,0.03125
KSA,Equestrianism,0.0051813471502590676
KSA,Athletics,0.00022578460149017836
KSA,3x3 Basketball,
KSA,Aeronautics,
KSA,Alpinism,
KSA,Archery,
KSA,Art Competitions,
KSA,Artistic Gymnastics,
KSA,Artistic Swimming,
KSA,Badminton,
KSA,Baseball,
KSA,Baseball/Softball,
KSA,Basketball,
KSA,Basque Pelota,
KSA,Beach Volleyball,
KSA,Boxing,
KSA,Breaking,
KSA,Canoe Slalom,
KSA,Canoe Sprint,
KSA,Canoeing,
KSA,Cricket,
KSA,Croquet,
KSA,Cycling,
KSA,Cycling BMX Freestyle,
KSA,Cycling BMX Racing,
KSA,Cycling Mountain Bike,
KSA,Cycling Road,
KSA,Cycling Track,
KSA,Diving,
KSA,Equestrian,
KSA,Fencing,
KSA,Figure Skating,
KSA,Football,
KSA,Golf,
KSA,Gymnastics,
KSA,Handball,
KSA,Hockey,
KSA,Ice Hockey,
KSA,Jeu De Paume,
KSA,Judo,
KSA,Lacrosse,
KSA,Marathon Swimming,
KSA,Modern Pentathlon,
KSA,Motorboating,
KSA,Polo,
KSA,Racquets,
KSA,Rhythmic Gymnastics,
KSA,Roque,
KSA,Rowing,
KSA,Rugby,
KSA,Rugby Sevens,
KSA,Sailing,
KSA,Shooting,
KSA,Skateboarding,
KSA,Softball,
KSA,Sport Climbing,
KSA,Surfing,
KSA,Swimming,
KSA,Synchronized Swimming,
KSA,Table Tennis,
KSA,Taekwondo,
KSA,Tennis,
KSA,Trampoline Gymnastics,
KSA,Trampolining,
KSA,Triathlon,
KSA,Tug-Of-War,
KSA,Volleyball,
KSA,Water Polo,
KSA,Weightlifting,
KSA,Wrestling,
SYR,Weightlifting,0.001392757660167131
SYR,Boxing,0.0009541984732824427
SYR,Wrestling,0.0006944444444444445
SYR,Athletics,0.00022578460149017836
SYR,3x3 Basketball,
SYR,Aeronautics,
SYR,Alpinism,
SYR,Archery,
SYR,Art Competitions,
SYR,Artistic Gymnastics,
SYR,Artistic Swimming,
SYR,Badminton,
SYR,Baseball,
SYR,Baseball/Softball,
SYR,Basketball,
SYR,Basque Pelota,
SYR,Beach Volleyball,
SYR,Breaking,
SYR,Canoe Slalom,
SYR,Canoe Sprint,
SYR,Canoeing,
SYR,Cricket,
SYR,Croquet,
SYR,Cycling,
SYR,Cycling BMX Freestyle,
SYR,Cycling BMX Racing,
SYR,Cycling Mountain Bike,
SYR,Cycling Road,
SYR,Cycling Track,
SYR,Diving,
SYR,Equestrian,
SYR,Equestrianism,
SYR,Fencing,
SYR,Figure Skating,
SYR,Football,
SYR,Golf,
SYR,Gymnastics,
SYR,Handball,
SYR,Hockey,
SYR,Ice Hockey,
SYR,Jeu De Paume,
SYR,Judo,
SYR,Karate,
SYR,Lacrosse,
SYR,Marathon Swimming,
SYR,Modern Pentathlon,
SYR,Motorboating,
SYR,Polo,
SYR,Racquets,
SYR,Rhythmic Gymnastics,
SYR,Roque,
SYR,Rowing,
SYR,Rugby,
SYR,Rugby Sevens,
SYR,Sailing,
SYR,Shooting,
SYR,Skateboarding,
SYR,Softball,
SYR,Sport Climbing,
SYR,Surfing,
SYR,Swimming,
SYR,Synchronized Swimming,
SYR,Table Tennis,
SYR,Taekwondo,
SYR,Tennis,
SYR,Trampoline Gymnastics,
SYR,Trampolining,
SYR,Triathlon,
SYR,Tug-Of-War,
SYR,Volleyball,
SYR,Water Polo,
MDV,3x3 Basketball,
MDV,Aeronautics,
MDV,Alpinism,
MDV,Archery,
MDV,Art Competitions,
MDV,Artistic Gymnastics,
MDV,Artistic Swimming,
MDV,Athletics,
MDV,Badminton,
MDV,Baseball,
MDV,Baseball/Softball,
MDV,Basketball,
MDV,Basque Pelota,
MDV,Beach Volleyball,
MDV,Boxing,
MDV,Breaking,
MDV,Canoe Slalom,
MDV,Canoe Sprint,
MDV,Canoeing,
MDV,Cricket,
MDV,Croquet,
MDV,Cycling,
MDV,Cycling BMX Freestyle,
MDV,Cycling BMX Racing,
MDV,Cycling Mountain Bike,
MDV,Cycling Road,
MDV,Cycling Track,
MDV,Diving,
MDV,Equestrian,
MDV,Equestrianism,
MDV,Fencing,
MDV,Figure Skating,
MDV,Football,
MDV,Golf,
MDV,Gymnastics,
MDV,Handball,
MDV,Hockey,
MDV,Ice Hockey,
MDV,Jeu De Paume,
MDV,Judo,
MDV,Karate,
MDV,Lacrosse,
MDV,Marathon Swimming,
MDV,Modern Pentathlon,
MDV,Motorboating,
MDV,Polo,
MDV,Racquets,
MDV,Rhythmic Gymnastics,
MDV,Roque,
MDV,Rowing,
MDV,Rugby,
MDV,Rugby Sevens,
MDV,Sailing,
MDV,Shooting,
MDV,Skateboarding,
MDV,Softball,
MDV,Sport Climbing,
MDV,Surfing,
MDV,Swimming,
MDV,Synchronized Swimming,
MDV,Table Tennis,
MDV,Taekwondo,
MDV,Tennis,
MDV,Trampoline Gymnastics,
MDV,Trampolining,
MDV,Triathlon,
MDV,Tug-Of-War,
MDV,Volleyball,
MDV,Water Polo,
MDV,Weightlifting,
MDV,Wrestling,
ETH,Athletics,0.013772860690900881
ETH,3x3 Basketball,
ETH,Aeronautics,
ETH,Alpinism,
ETH,Archery,
ETH,Art Competitions,
ETH,Artistic Gymnastics,
ETH,Artistic Swimming,
ETH,Badminton,
ETH,Baseball,
ETH,Baseball/Softball,
ETH,Basketball,
ETH,Basque Pelota,
ETH,Beach Volleyball,
ETH,Boxing,
ETH,Breaking,
ETH,Canoe Slalom,
ETH,Canoe Sprint,
ETH,Canoeing,
ETH,Cricket,
ETH,Croquet,
ETH,Cycling,
ETH,Cycling BMX Freestyle,
ETH,Cycling BMX Racing,
ETH,Cycling Mountain Bike,
ETH,Cycling Road,
ETH,Cycling Track,
ETH,Diving,
ETH,Equestrian,
ETH,Equestrianism,
ETH,Fencing,
ETH,Figure Skating,
ETH,Football,
ETH,Golf,
ETH,Gymnastics,
ETH,Handball,
ETH,Hockey,
ETH,Ice Hockey,
ETH,Jeu De Paume,
ETH,Judo,
ETH,Karate,
ETH,Lacrosse,
ETH,Marathon Swimming,
ETH,Modern Pentathlon,
ETH,Motorboating,
ETH,Polo,
ETH,Racquets,
ETH,Rhythmic Gymnastics,
ETH,Roque,
ETH,Rowing,
ETH,Rugby,
ETH,Rugby Sevens,
ETH,Sailing,
ETH,Shooting,
ETH,Skateboarding,
ETH,Softball,
ETH,Sport Climbing,
ETH,Surfing,
ETH,Swimming,
ETH,Synchronized Swimming,
ETH,Table Tennis,
ETH,Taekwondo,
ETH,Tennis,
ETH,Trampoline Gymnastics,
ETH,Trampolining,
ETH,Triathlon,
ETH,Tug-Of-War,
ETH,Volleyball,
ETH,Water Polo,
ETH,Weightlifting,
ETH,Wrestling,
UAE,Judo,0.001326259946949602
UAE,Shooting,0.0007518796992481203
UAE,3x3 Basketball,
UAE,Aeronautics,
UAE,Alpinism,
UAE,Archery,
UAE,Art Competitions,
UAE,Artistic Gymnastics,
UAE,Artistic Swimming,
UAE,Athletics,
UAE,Badminton,
UAE,Baseball,
UAE,Baseball/Softball,
UAE,Basketball,
UAE,Basque Pelota,
UAE,Beach Volleyball,
UAE,Boxing,
UAE,Breaking,
UAE,Canoe Slalom,
UAE,Canoe Sprint,
UAE,Canoeing,
UAE,Cricket,
UAE,Croquet,
UAE,Cycling,
UAE,Cycling BMX Freestyle,
UAE,Cycling BMX Racing,
UAE,Cycling Mountain Bike,
UAE,Cycling Road,
UAE,Cycling Track,
UAE,Diving,
UAE,Equestrian,
UAE,Equestrianism,
UAE,Fencing,
UAE,Figure Skating,
UAE,Football,
UAE,Golf,
UAE,Gymnastics,
UAE,Handball,
UAE,Hockey,
UAE,Ice Hockey,
UAE,Jeu De Paume,
UAE,Karate,
UAE,Lacrosse,
UAE,Marathon Swimming,
UAE,Modern Pentathlon,
UAE,Motorboating,
UAE,Polo,
UAE,Racquets,
UAE,Rhythmic Gymnastics,
UAE,Roque,
UAE,Rowing,
UAE,Rugby,
UAE,Rugby Sevens,
UAE,Sailing,
UAE,Skateboarding,
UAE,Softball,
UAE,Sport Climbing,
UAE,Surfing,
UAE,Swimming,
UAE,Synchronized Swimming,
UAE,Table Tennis,
UAE,Taekwondo,
UAE,Tennis,
UAE,Trampoline Gymnastics,
UAE,Trampolining,
UAE,Triathlon,
UAE,Tug-Of-War,
UAE,Volleyball,
UAE,Water Polo,
UAE,Weightlifting,
UAE,Wrestling,
YAR,3x3 Basketball,
YAR,Aeronautics,
YAR,Alpinism,
YAR,Archery,
YAR,Art Competitions,
YAR,Artistic Gymnastics,
YAR,Artistic Swimming,
YAR,Athletics,
YAR,Badminton,
YAR,Baseball,
YAR,Baseball/Softball,
YAR,Basketball,
YAR,Basque Pelota,
YAR,Beach Volleyball,
YAR,Boxing,
YAR,Breaking,
YAR,Canoe Slalom,
YAR,Canoe Sprint,
YAR,Canoeing,
YAR,Cricket,
YAR,Croquet,
YAR,Cycling,
YAR,Cycling BMX Freestyle,
YAR,Cycling BMX Racing,
YAR,Cycling Mountain Bike,
YAR,Cycling Road,
YAR,Cycling Track,
YAR,Diving,
YAR,Equestrian,
YAR,Equestrianism,
YAR,Fencing,
YAR,Figure Skating,
YAR,Football,
YAR,Golf,
YAR,Gymnastics,
YAR,Handball,
YAR,Hockey,
YAR,Ice Hockey,
YAR,Jeu De Paume,
YAR,Judo,
YAR,Karate,
YAR,Lacrosse,
YAR,Marathon Swimming,
YAR,Modern Pentathlon,
YAR,Motorboating,
YAR,Polo,
YAR,Racquets,
YAR,Rhythmic Gymnastics,
YAR,Roque,
YAR,Rowing,
YAR,Rugby,
YAR,Rugby Sevens,
YAR,Sailing,
YAR,Shooting,
YAR,Skateboarding,
YAR,Softball,
YAR,Sport Climbing,
YAR,Surfing,
YAR,Swimming,
YAR,Synchronized Swimming,
YAR,Table Tennis,
YAR,Taekwondo,
YAR,Tennis,
YAR,Trampoline Gymnastics,
YAR,Trampolining,
YAR,Triathlon,
YAR,Tug-Of-War,
YAR,Volleyball,
YAR,Water Polo,
YAR,Weightlifting,
YAR,Wrestling,
INA,Badminton,0.14814814814814814
INA,Sport Climbing,0.05555555555555555
INA,Weightlifting,0.019498607242339833
INA,Archery,0.007263922518159807
INA,3x3 Basketball,
INA,Aeronautics,
INA,Alpinism,
INA,Art Competitions,
INA,Artistic Gymnastics,
INA,Artistic Swimming,
INA,Athletics,
INA,Baseball,
INA,Baseball/Softball,
INA,Basketball,
INA,Basque Pelota,
INA,Beach Volleyball,
INA,Boxing,
INA,Breaking,
INA,Canoe Slalom,
INA,Canoe Sprint,
INA,Canoeing,
INA,Cricket,
INA,Croquet,
INA,Cycling,
INA,Cycling BMX Freestyle,
INA,Cycling BMX Racing,
INA,Cycling Mountain Bike,
INA,Cycling Road,
INA,Cycling Track,
INA,Diving,
INA,Equestrian,
INA,Equestrianism,
INA,Fencing,
INA,Figure Skating,
INA,Football,
INA,Golf,
INA,Gymnastics,
INA,Handball,
INA,Hockey,
INA,Ice Hockey,
INA,Jeu De Paume,
INA,Judo,
INA,Karate,
INA,Lacrosse,
INA,Marathon Swimming,
INA,Modern Pentathlon,
INA,Motorboating,
INA,Polo,
INA,Racquets,
INA,Rhythmic Gymnastics,
INA,Roque,
INA,Rowing,
INA,Rugby,
INA,Rugby Sevens,
INA,Sailing,
INA,Shooting,
INA,Skateboarding,
INA,Softball,
INA,Surfing,
INA,Swimming,
INA,Synchronized Swimming,
INA,Table Tennis,
INA,Taekwondo,
INA,Tennis,
INA,Trampoline Gymnastics,
INA,Trampolining,
INA,Triathlon,
INA,Tug-Of-War,
INA,Volleyball,
INA,Water Polo,
INA,Wrestling,
PHI,Artistic Gymnastics,0.015625
PHI,Boxing,0.009541984732824428
PHI,Weightlifting,0.002785515320334262
PHI,Swimming,0.0005765350245027386
PHI,Athletics,0.0004515692029803567
PHI,3x3 Basketball,
PHI,Aeronautics,
PHI,Alpinism,
PHI,Archery,
PHI,Art Competitions,
PHI,Artistic Swimming,
PHI,Badminton,
PHI,Baseball,
PHI,Baseball/Softball,
PHI,Basketball,
PHI,Basque Pelota,
PHI,Beach Volleyball,
PHI,Breaking,
PHI,Canoe Slalom,
PHI,Canoe Sprint,
PHI,Canoeing,
PHI,Cricket,
PHI,Croquet,
PHI,Cycling,
PHI,Cycling BMX Freestyle,
PHI,Cycling BMX Racing,
PHI,Cycling Mountain Bike,
PHI,Cycling Road,
PHI,Cycling Track,
PHI,Diving,
PHI,Equestrian,
PHI,Equestrianism,
PHI,Fencing,
PHI,Figure Skating,
PHI,Football,
PHI,Golf,
PHI,Gymnastics,
PHI,Handball,
PHI,Hockey,
PHI,Ice Hockey,
PHI,Jeu De Paume,
PHI,Judo,
PHI,Karate,
PHI,Lacrosse,
PHI,Marathon Swimming,
PHI,Modern Pentathlon,
PHI,Motorboating,
PHI,Polo,
PHI,Racquets,
PHI,Rhythmic Gymnastics,
PHI,Roque,
PHI,Rowing,
PHI,Rugby,
PHI,Rugby Sevens,
PHI,Sailing,
PHI,Shooting,
PHI,Skateboarding,
PHI,Softball,
PHI,Sport Climbing,
PHI,Surfing,
PHI,Synchronized Swimming,
PHI,Table Tennis,
PHI,Taekwondo,
PHI,Tennis,
PHI,Trampoline Gymnastics,
PHI,Trampolining,
PHI,Triathlon,
PHI,Tug-Of-War,
PHI,Volleyball,
PHI,Water Polo,
PHI,Wrestling,
SGP,Table Tennis,0.03070175438596491
SGP,Weightlifting,0.001392757660167131
SGP,Sailing,0.0007651109410864575
SGP,Swimming,0.0002882675122513693
SGP,3x3 Basketball,
SGP,Aeronautics,
SGP,Alpinism,
SGP,Archery,
SGP,Art Competitions,
SGP,Artistic Gymnastics,
SGP,Artistic Swimming,
SGP,Athletics,
SGP,Badminton,
SGP,Baseball,
SGP,Baseball/Softball,
SGP,Basketball,
SGP,Basque Pelota,
SGP,Beach Volleyball,
SGP,Boxing,
SGP,Breaking,
SGP,Canoe Slalom,
SGP,Canoe Sprint,
SGP,Canoeing,
SGP,Cricket,
SGP,Croquet,
SGP,Cycling,
SGP,Cycling BMX Freestyle,
SGP,Cycling BMX Racing,
SGP,Cycling Mountain Bike,
SGP,Cycling Road,
SGP,Cycling Track,
SGP,Diving,
SGP,Equestrian,
SGP,Equestrianism,
SGP,Fencing,
SGP,Figure Skating,
SGP,Football,
SGP,Golf,
SGP,Gymnastics,
SGP,Handball,
SGP,Hockey,
SGP,Ice Hockey,
